:START_ID,id,score,:END_ID,:TYPE
Negative,1144,-0.1199,ebkfeew,_IS
Neutral,1146,0.0,ebk5rtt,_IS
Positive,1172,0.3478,ebki4b0,_IS
Neutral,1174,0.0,ebk4qm5,_IS
Negative,1181,-0.1646,ebk86au,_IS
Neutral,1187,0.0,ebk74pv,_IS
Positive,1190,0.2629,ebk9xnw,_IS
Positive,1196,0.5106,ebk9m7w,_IS
Positive,1199,0.1207,ebk3nmv,_IS
Neutral,1204,0.0,ebkakbn,_IS
Negative,1206,-0.0941,ebkmzqw,_IS
Positive,1209,0.5994,ebkdiuw,_IS
Negative,1211,-0.3454,ebkvv8v,_IS
Positive,1214,0.1012,ebliswm,_IS
Positive,1215,0.4019,ebk2qog,_IS
Positive,1217,0.1927,ebkqwgv,_IS
Positive,1218,0.8402,ebl3pru,_IS
Neutral,1219,0.0,ebmqj11,_IS
Positive,1220,0.1905,ebn848e,_IS
Positive,1221,0.3182,ebk5tet,_IS
Positive,1227,0.5232,ebk5jje,_IS
Negative,1230,-0.3469,ebknxk1,_IS
Neutral,1233,0.0,ebl0kwk,_IS
Negative,1237,-0.2846,ebkj8rt,_IS
Neutral,1250,0.0128,ebkbxu1,_IS
Neutral,1252,0.0,ebkcp0l,_IS
Neutral,1254,0.0,ebkctu9,_IS
Positive,1256,0.5859,ebk6z0y,_IS
Positive,1261,0.2633,ebkfm6c,_IS
Neutral,1264,0.0,ebka2w6,_IS
Positive,1269,0.1497,ebktjua,_IS
Negative,1270,-0.0516,ebl87gl,_IS
Negative,1273,-0.148,ebklyho,_IS
Neutral,1276,0.0,ebkf4rb,_IS
Positive,1277,0.289,ebknzrv,_IS
Neutral,1278,0.0,ebk8imx,_IS
Negative,1280,-0.4767,ebkhajk,_IS
Positive,1281,0.4404,ebkmo08,_IS
Neutral,1282,0.0,ebkm5oc,_IS
Negative,1284,-0.1409,eblfufy,_IS
Positive,1285,0.4574,ebl40qp,_IS
Neutral,1286,0.0,ebl82qn,_IS
Neutral,1287,0.0,eblffwq,_IS
Positive,1289,0.7506,eblrlqx,_IS
Positive,1290,0.3612,eblux1q,_IS
Positive,1291,0.2195,ebmirzs,_IS
Neutral,1292,0.0,ebkxsbz,_IS
Positive,1293,0.1806,ebkp0mi,_IS
Positive,1294,0.7345,ebl0k1e,_IS
Positive,1296,0.5574,ebk78nl,_IS
Neutral,1302,0.0,ebk9pwq,_IS
Positive,1305,0.148,ebkc0t8,_IS
Positive,1306,0.4019,ebk93n4,_IS
Positive,1307,0.4404,ebl4s32,_IS
Positive,1308,0.17,ebl3342,_IS
Positive,1309,0.456,ebkaotd,_IS
Negative,1311,-0.2263,ebkl0bp,_IS
Neutral,1312,0.0,ebll7bo,_IS
Neutral,1314,0.0,eblfx51,_IS
Neutral,1315,0.0,ebkhqot,_IS
Positive,1316,0.2202,ebklw26,_IS
Neutral,1317,0.0129,ebl9nqj,_IS
Positive,1318,0.1639,ebkdlqu,_IS
Negative,1319,-0.0689,ebkimb0,_IS
Positive,1324,0.0717,ebkwcsv,_IS
Neutral,1325,0.0498,ebkrnet,_IS
Positive,1326,0.5773,ebkg7ir,_IS
Neutral,1328,-0.0038,ebkawns,_IS
Negative,1330,-0.1329,ebkmu7w,_IS
Neutral,1332,-0.0303,ebkd87s,_IS
Positive,1334,0.5586,ebk4cl2,_IS
Negative,1338,-0.152,ebke4mb,_IS
Neutral,1339,0.0266,ebkaqx0,_IS
Negative,1343,-0.631,ebkn6jw,_IS
Positive,1344,0.3818,ebko6z4,_IS
Neutral,1345,0.0,ebko763,_IS
Positive,1346,0.2479,ebky4e2,_IS
Positive,1349,0.1273,eblahox,_IS
Neutral,1353,0.0,eblosa3,_IS
Neutral,1354,0.0,ebkavgk,_IS
Positive,1357,0.2195,ebk7bzv,_IS
Positive,1359,0.1806,ebk67bu,_IS
Neutral,1360,0.0,ebk8hpa,_IS
Neutral,1361,0.0,ebk7a2q,_IS
Neutral,1363,0.0,ebkbf4p,_IS
