:ID,article_id,parent_id,author,score,timestamp,length,averageWordLength,quotedTextPerLength,readingLevel,sentimentScore,sentiment,similarity,:LABEL
eashsds,a1pvao,a1pvao,Zanctmao,1,1543620209,209,5.094,0.0813,69.11,0.0828,Positive,1.0,comment
eart5fm,a1pvao,a1pvao,truthuniversallyackn,1933,1543588296,48,5.0,0.0,-10.76,0.0,Neutral,1.0,comment
eas432g,a1pvao,a1pvao,boringhistoryfan,1149,1543605295,366,5.472,0.0,80.11,0.1551,Positive,1.0,comment
easd0hl,a1pvao,a1pvao,stevensjohnsonsy,983,1543616264,135,4.417,0.0,82.0,-0.1118,Negative,1.0,comment
eas6j1g,a1pvao,a1pvao,ladyautumnwood,754,1543609137,926,6.555,0.0,80.82,-0.0719,Negative,1.0,comment
eashklz,a1pvao,a1pvao,massinsomnia,71,1543620035,594,5.897,0.0,80.21,0.1997,Positive,1.0,comment
eart091,a1pvao,a1pvao,Anonymous,41,1543588117,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eas8re4,a1pvao,a1pvao,aiaor,54,1543611948,180,4.6,0.0,85.39,-0.1926,Negative,1.0,comment
easeaps,a1pvao,a1pvao,In4mation1789,102,1543617365,783,6.323,0.0,75.91,0.065,Positive,1.0,comment
easfce8,a1pvao,a1pvao,c_c_c__combobreaker,33,1543618233,652,6.444,0.0,67.04,-0.2574,Negative,1.0,comment
eashez0,a1pvao,a1pvao,AwardWinningToes,38,1543619908,2060,7.569,0.0,66.37,0.1431,Positive,1.0,comment
earu71p,a1pvao,a1pvao,demonaspet,193,1543589511,178,5.692,0.0,48.81,-0.6474,Negative,1.0,comment
easeftz,a1pvao,a1pvao,TheGarp,33,1543617480,194,4.967,0.0,84.68,0.0,Neutral,1.0,comment
earuy4b,a1pvao,a1pvao,Anonymous,23,1543590430,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eashksf,a1pvao,a1pvao,Belile254,11,1543620039,403,5.964,0.0,60.11,-0.1055,Negative,1.0,comment
eas1qui,a1pvao,a1pvao,Anonymous,26,1543601032,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easecrt,a1pvao,a1pvao,arisadoe,8,1543617412,100,4.588,0.0,70.29,0.2919,Positive,1.0,comment
eas7eff,a1pvao,a1pvao,Hitoha24,6,1543610306,380,5.519,0.0,84.68,0.3006,Positive,1.0,comment
easf68r,a1pvao,a1pvao,Anonymous,-3,1543618093,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easg9jn,a1pvao,a1pvao,rs_obsidian,3,1543618963,29,4.0,0.0,90.77,0.0,Neutral,1.0,comment
eash1g8,a1pvao,a1pvao,AegonIConqueror,2,1543619592,305,6.0,0.0,61.36,0.2788,Positive,1.0,comment
eart8hk,a1pvao,a1pvao,Anonymous,0,1543588394,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easedxf,a1pvao,a1pvao,Anonymous,1,1543617438,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easfiu0,a1pvao,a1pvao,Anonymous,1,1543618376,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easft2g,a1pvao,a1pvao,Anonymous,-10,1543618599,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easg1on,a1pvao,a1pvao,Anonymous,-1,1543618793,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easgteo,a1pvao,a1pvao,Anonymous,-1,1543619404,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eash8al,a1pvao,a1pvao,Anonymous,0,1543619752,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easch0o,a1pvao,a1pvao,Anonymous,-20,1543615759,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eas1kg4,a1pvao,a1pvao,Anonymous,-25,1543600712,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eashbg9,a1pvao,a1pvao,Anonymous,-3,1543619826,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
easf1i3,a1pvao,a1pvao,Anonymous,-2,1543617987,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eascnrn,a1pvao,a1pvao,boringuser1,-38,1543615931,71,4.917,0.0,67.76,-0.046,Neutral,1.0,comment
eas4vpu,a1pvao,a1pvao,Anonymous,-22,1543606644,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eart7cl,a1pvao,eart5fm,JusticeForMyBaby,948,1543588360,68,4.231,0.0,76.22,0.4215,Positive,0.0935,comment
easaxer,a1pvao,eart5fm,penny_in_my_pocket,38,1543614288,418,5.475,0.0,69.11,0.1615,Positive,0.184,comment
easge0q,a1pvao,eas432g,unwindulaxed,104,1543619063,404,6.44,0.0,50.84,0.2487,Positive,0.0741,comment
easb8gz,a1pvao,eas432g,Anonymous,-5,1543614584,9,7.0,0.0,36.62,0.0,Neutral,0.0,comment
easgcc2,a1pvao,easd0hl,ebmo47,125,1543619025,579,6.794,0.0,74.08,0.2006,Positive,0.0964,comment
easgwwm,a1pvao,easd0hl,Anonymous,-26,1543619482,9,7.0,0.0,36.62,0.0,Neutral,0.0,comment
easdk86,a1pvao,eas6j1g,Behatted-Llama,338,1543616756,162,5.2,0.0,70.5,-0.1061,Negative,0.071,comment
easc0u2,a1pvao,eas6j1g,the_beast666,53,1543615339,837,6.854,0.0,69.52,-0.0719,Negative,0.2509,comment
eart7yr,a1pvao,eart091,JusticeForMyBaby,33,1543588378,59,4.273,0.0,77.23,0.8905,Positive,0.0,comment
easgce7,a1pvao,easfce8,BlueOrcaJupiter,9,1543619027,77,4.846,0.0,67.76,-0.1027,Negative,0.178,comment
earukqw,a1pvao,earu71p,JusticeForMyBaby,186,1543589969,136,4.28,0.0,62.01,-0.4404,Negative,0.0,comment
earuwbm,a1pvao,earu71p,Nordrian,54,1543590367,135,4.542,0.0,64.04,-0.2732,Negative,0.08,comment
easb1uw,a1pvao,earu71p,SeattleBattles,14,1543614409,339,5.36,0.0,72.87,0.3368,Positive,0.1093,comment
earyx0p,a1pvao,earuy4b,JusticeForMyBaby,24,1543596277,200,5.129,0.0,69.11,0.4959,Positive,0.0,comment
eas3gu5,a1pvao,eas1qui,jessi_moni,103,1543604210,732,5.76,0.0,83.15,0.082,Positive,0.0,comment
easd6ws,a1pvao,eas1qui,Behatted-Llama,29,1543616431,245,6.03,0.0,52.87,0.1101,Positive,0.0,comment
easfjgh,a1pvao,easf68r,Biondina,18,1543618390,56,4.778,0.0,53.88,-0.03,Neutral,0.3352,comment
