:START_ID,id,similarity,:END_ID,:TYPE
ebl0kwk,1145,0.0,ebkfeew,REPLY_TO
ebkj8rt,1147,0.0,ebk5rtt,REPLY_TO
ebkbxu1,1148,0.0,ebk5rtt,REPLY_TO
ebkcp0l,1149,0.0,ebk5rtt,REPLY_TO
ebkctu9,1150,0.0887,ebk5rtt,REPLY_TO
ebk6z0y,1151,0.0,ebk5rtt,REPLY_TO
ebkfm6c,1152,0.0,ebk5rtt,REPLY_TO
ebka2w6,1153,0.0,ebk5rtt,REPLY_TO
ebktjua,1154,0.0,ebk5rtt,REPLY_TO
ebl87gl,1155,0.0,ebk5rtt,REPLY_TO
ebklyho,1156,0.068,ebk5rtt,REPLY_TO
ebkf4rb,1157,0.0,ebk5rtt,REPLY_TO
ebknzrv,1158,0.0,ebk5rtt,REPLY_TO
ebk8imx,1159,0.4104,ebk5rtt,REPLY_TO
ebkhajk,1160,0.0,ebk5rtt,REPLY_TO
ebkmo08,1161,0.0,ebk5rtt,REPLY_TO
ebkm5oc,1162,0.0,ebk5rtt,REPLY_TO
eblfufy,1163,0.0,ebk5rtt,REPLY_TO
ebl40qp,1164,0.0,ebk5rtt,REPLY_TO
ebl82qn,1165,0.0,ebk5rtt,REPLY_TO
eblffwq,1166,0.4936,ebk5rtt,REPLY_TO
eblrlqx,1167,0.0,ebk5rtt,REPLY_TO
eblux1q,1168,0.0,ebk5rtt,REPLY_TO
ebmirzs,1169,0.0,ebk5rtt,REPLY_TO
ebkxsbz,1170,0.0,ebk5rtt,REPLY_TO
ebkp0mi,1171,0.106,ebk5rtt,REPLY_TO
ebl0k1e,1173,0.0,ebki4b0,REPLY_TO
ebk78nl,1175,0.0,ebk4qm5,REPLY_TO
ebk9pwq,1176,0.0,ebk4qm5,REPLY_TO
ebkc0t8,1177,0.0,ebk4qm5,REPLY_TO
ebk93n4,1178,0.0,ebk4qm5,REPLY_TO
ebl4s32,1179,0.0,ebk4qm5,REPLY_TO
ebl3342,1180,0.0,ebk4qm5,REPLY_TO
ebkaotd,1182,0.1208,ebk86au,REPLY_TO
ebkl0bp,1183,0.0134,ebk86au,REPLY_TO
ebll7bo,1184,0.0,ebk86au,REPLY_TO
eblfx51,1185,0.0291,ebk86au,REPLY_TO
ebkhqot,1186,0.1299,ebk86au,REPLY_TO
ebklw26,1188,0.0,ebk74pv,REPLY_TO
ebl9nqj,1189,0.1617,ebk74pv,REPLY_TO
ebkdlqu,1191,0.3356,ebk9xnw,REPLY_TO
ebkimb0,1192,0.1087,ebk9xnw,REPLY_TO
ebkwcsv,1193,0.5847,ebk9xnw,REPLY_TO
ebkrnet,1194,0.1565,ebk9xnw,REPLY_TO
ebkg7ir,1195,0.2363,ebk9xnw,REPLY_TO
ebkawns,1197,0.1315,ebk9m7w,REPLY_TO
ebkmu7w,1198,0.0,ebk9m7w,REPLY_TO
ebkd87s,1200,0.0268,ebk3nmv,REPLY_TO
ebk4cl2,1201,0.0545,ebk3nmv,REPLY_TO
ebke4mb,1202,0.1681,ebk3nmv,REPLY_TO
ebkaqx0,1203,0.0,ebk3nmv,REPLY_TO
ebkn6jw,1205,0.0674,ebkakbn,REPLY_TO
ebko6z4,1207,0.1497,ebkmzqw,REPLY_TO
ebko763,1208,0.0,ebkmzqw,REPLY_TO
ebky4e2,1210,0.0651,ebkdiuw,REPLY_TO
eblahox,1212,0.0853,ebkvv8v,REPLY_TO
eblosa3,1213,0.0,ebkvv8v,REPLY_TO
ebkavgk,1216,0.0,ebk2qog,REPLY_TO
ebk7bzv,1222,0.2532,ebk5tet,REPLY_TO
ebk67bu,1223,0.0545,ebk5tet,REPLY_TO
ebk8hpa,1224,0.0,ebk5tet,REPLY_TO
ebk7a2q,1225,0.0,ebk5tet,REPLY_TO
ebkbf4p,1226,0.0,ebk5tet,REPLY_TO
