:ID,article_id,parent_id,author,score,timestamp,length,average_word_length,quoted_text_per_length,reading_level,sentimentScore,sentiment,similarity,:LABEL
eb8np9j,a3s7ja,a3s7ja,AutoModerator,1,1544158608,445,8.476,0.0,28.5,0.1376,Positive,1.0,comment
eb8np9y,a3s7ja,a3s7ja,AutoModerator,1,1544158608,891,10.567,0.0,10.26,0.1921,Positive,1.0,comment
eb7q0yp,a3oec5,a3oec5,caustic_banana,500,1544135696,443,5.645,0.0,72.16,0.2532,Positive,1.0,comment
eb7q8f2,a3oec5,a3oec5,asscakesguy,111,1544135871,324,5.574,0.0,76.86,0.0172,Neutral,1.0,comment
eb7rjte,a3oec5,a3oec5,beamdriver,101,1544136899,539,6.855,0.0,71.95,0.1142,Positive,1.0,comment
eb7q4m4,a3oec5,a3oec5,Bsubrowsing,38,1544135785,133,4.375,0.0,84.17,0.3643,Positive,1.0,comment
eb83e2q,a3oec5,a3oec5,adossantos89,8,1544145101,256,6.833,0.0,72.87,-0.0686,Negative,1.0,comment
eb88h2s,a3oec5,a3oec5,betamaleorderbride,6,1544148434,142,5.091,0.0,83.66,0.1591,Positive,1.0,comment
eb7w3h9,a3oec5,a3oec5,HatsAndTopcoats,16,1544140149,504,6.156,0.0,82.75,-0.0349,Neutral,1.0,comment
eb8drv5,a3oec5,a3oec5,Hendursag,4,1544152042,193,4.812,0.0,63.19,-0.1129,Negative,1.0,comment
eb7puqi,a3oec5,a3oec5,LocationBot,3,1544135556,1216,8.402,0.0,63.9,0.1763,Positive,1.0,comment
eb8mg6s,a3oec5,a3oec5,Bobert9333,3,1544157775,911,8.541,0.0,67.59,-0.2729,Negative,1.0,comment
eb807ab,a3oec5,a3oec5,mmmssslll,4,1544142913,61,4.083,0.0,83.32,-0.2384,Negative,1.0,comment
eb8193z,a3oec5,a3oec5,seanprefect,3,1544143613,68,5.3,0.0,84.68,0.2023,Positive,1.0,comment
eb8owmy,a3oec5,a3oec5,pithen,1,1544159361,606,6.884,0.0594,69.82,0.0043,Neutral,1.0,comment
eb8r3io,a3oec5,a3oec5,Randvek,1,1544160732,704,7.234,0.0,75.5,-0.1054,Negative,1.0,comment
eb8s4cf,a3oec5,a3oec5,Anonymous,1,1544161403,9,7.0,0.0,36.62,0.0,Neutral,1.0,comment
eb8sl4l,a3oec5,a3oec5,sweetrobna,1,1544161708,296,7.152,0.0,65.93,0.1115,Positive,1.0,comment
eb8ec5u,a3oec5,a3oec5,Hendursag,-1,1544152423,762,7.709,0.0,63.39,0.2326,Positive,1.0,comment
eb7ql07,a3oec5,eb7q0yp,Lizard_repositioner,154,1544136153,172,4.29,0.0,85.99,0.2798,Positive,0.0631,comment
