:START_ID,:END_ID,:TYPE
0a,8i,0.89
8i,0a,0.89
0a,11l,0.78
11l,0a,0.78
0a,18s,0.67
18s,0a,0.67
0a,22w,0.6
22w,0a,0.6
0a,25z,0.2
25z,0a,0.2
0a,38m,0.1
38m,0a,0.1
1b,9j,0.32
9j,1b,0.32
1b,12m,0.68
12m,1b,0.68
1b,13n,0.47
13n,1b,0.47
1b,19t,0.26
19t,1b,0.26
1b,23x,0.13
23x,1b,0.13
1b,26a,0.11
26a,1b,0.11
3d,14o,0.8
14o,3d,0.8
3d,20u,0.44
20u,3d,0.44
3d,28c,0.22
28c,3d,0.22
3d,33h,0.11
33h,3d,0.11
4e,15p,0.75
15p,4e,0.75
7h,10k,0.57
10k,7h,0.57
7h,16q,0.43
16q,7h,0.43
7h,17r,0.43
17r,7h,0.43
7h,21v,0.3
21v,7h,0.3
7h,29d,0.2
29d,7h,0.2
7h,34i,0.1
34i,7h,0.1
8i,11l,0.88
11l,8i,0.88
8i,18s,0.75
18s,8i,0.75
8i,22w,0.67
22w,8i,0.67
8i,25z,0.22
25z,8i,0.22
8i,38m,0.11
38m,8i,0.11
9j,19t,0.83
19t,9j,0.83
10k,17r,0.75
17r,10k,0.75
11l,18s,0.86
18s,11l,0.86
11l,22w,0.75
22w,11l,0.75
11l,25z,0.25
25z,11l,0.25
11l,38m,0.12
38m,11l,0.12
12m,13n,0.69
13n,12m,0.69
12m,23x,0.17
23x,12m,0.17
12m,24y,0.12
24y,12m,0.12
12m,26a,0.14
26a,12m,0.14
12m,27b,0.1
27b,12m,0.1
13n,24y,0.17
24y,13n,0.17
14o,20u,0.5
20u,14o,0.5
14o,28c,0.25
28c,14o,0.25
14o,33h,0.12
33h,14o,0.12
16q,21v,0.5
21v,16q,0.5
16q,29d,0.33
29d,16q,0.33
16q,34i,0.17
34i,16q,0.17
18s,22w,0.86
22w,18s,0.86
18s,25z,0.29
25z,18s,0.29
18s,38m,0.14
38m,18s,0.14
20u,28c,0.75
28c,20u,0.75
20u,33h,0.62
33h,20u,0.62
21v,29d,0.83
29d,21v,0.83
21v,34i,0.67
34i,21v,0.67
21v,37l,0.5
37l,21v,0.5
22w,25z,0.43
25z,22w,0.43
22w,38m,0.29
38m,22w,0.29
23x,26a,0.73
26a,23x,0.73
23x,27b,0.6
27b,23x,0.6
23x,30e,0.27
30e,23x,0.27
23x,31f,0.53
31f,23x,0.53
23x,35j,0.47
35j,23x,0.47
23x,36k,0.33
36k,23x,0.33
23x,39n,0.13
39n,23x,0.13
23x,40o,0.5
40o,23x,0.5
23x,41p,0.44
41p,23x,0.44
23x,42q,0.12
42q,23x,0.12
24y,32g,0.8
32g,24y,0.8
25z,38m,0.67
38m,25z,0.67
26a,27b,0.82
27b,26a,0.82
26a,31f,0.73
31f,26a,0.73
26a,35j,0.64
35j,26a,0.64
26a,36k,0.45
36k,26a,0.45
26a,39n,0.18
39n,26a,0.18
26a,40o,0.67
40o,26a,0.67
26a,41p,0.58
41p,26a,0.58
26a,42q,0.17
42q,26a,0.17
27b,31f,0.89
31f,27b,0.89
27b,35j,0.78
35j,27b,0.78
27b,36k,0.56
36k,27b,0.56
27b,40o,0.8
40o,27b,0.8
27b,41p,0.7
41p,27b,0.7
27b,42q,0.2
42q,27b,0.2
28c,33h,0.83
33h,28c,0.83
29d,34i,0.8
34i,29d,0.8
29d,37l,0.6
37l,29d,0.6
31f,35j,0.88
35j,31f,0.88
31f,36k,0.62
36k,31f,0.62
31f,40o,0.89
40o,31f,0.89
31f,41p,0.78
41p,31f,0.78
31f,42q,0.22
42q,31f,0.22
34i,37l,0.75
37l,34i,0.75
35j,36k,0.71
36k,35j,0.71
35j,40o,0.78
40o,35j,0.78
35j,41p,0.88
41p,35j,0.88
35j,42q,0.25
42q,35j,0.25
36k,40o,0.56
40o,36k,0.56
36k,41p,0.62
41p,36k,0.62
40o,41p,0.89
41p,40o,0.89
40o,42q,0.33
42q,40o,0.33
41p,42q,0.38
42q,41p,0.38
