:START_ID,id,:END_ID,:TYPE
0a,0,27b,0.8
27b,0,0a,0.8
0a,1,63l,0.17
63l,1,0a,0.17
1b,2,17r,0.98
17r,2,1b,0.98
1b,3,18s,0.93
18s,3,1b,0.93
1b,4,19t,0.88
19t,4,1b,0.88
1b,5,20u,0.81
20u,5,1b,0.81
1b,6,21v,0.74
21v,6,1b,0.74
1b,7,22w,0.6
22w,7,1b,0.6
1b,8,23x,0.52
23x,8,1b,0.52
1b,9,24y,0.4
24y,9,1b,0.4
1b,10,25z,0.31
25z,10,1b,0.31
1b,11,26a,0.19
26a,11,1b,0.19
1b,12,34i,0.12
34i,12,1b,0.12
2c,13,42q,0.25
42q,13,2c,0.25
3d,14,44s,0.11
44s,14,3d,0.11
3d,15,70s,0.11
70s,15,3d,0.11
4e,16,45t,0.14
45t,16,4e,0.14
4e,17,46u,0.14
46u,17,4e,0.14
6g,18,48w,0.14
48w,18,6g,0.14
6g,19,71t,0.1
71t,19,6g,0.1
7h,20,40o,0.25
40o,20,7h,0.25
7h,21,49x,0.25
49x,21,7h,0.25
7h,22,50y,0.2
50y,22,7h,0.2
8i,23,41p,0.12
41p,23,8i,0.12
8i,24,51z,0.17
51z,24,8i,0.17
8i,25,52a,0.12
52a,25,8i,0.12
8i,26,53b,0.11
53b,26,8i,0.11
8i,27,72u,0.14
72u,27,8i,0.14
11l,28,54c,0.17
54c,28,11l,0.17
11l,29,73v,0.25
73v,29,11l,0.25
12m,30,55d,0.14
55d,30,12m,0.14
12m,31,74w,0.17
74w,31,12m,0.17
13n,32,56e,0.25
56e,32,13n,0.25
14o,33,57f,0.12
57f,33,14o,0.12
14o,34,58g,0.14
58g,34,14o,0.14
15p,35,59h,0.2
59h,35,15p,0.2
15p,36,60i,0.14
60i,36,15p,0.14
15p,37,75x,0.17
75x,37,15p,0.17
16q,38,61j,0.14
61j,38,16q,0.14
16q,39,62k,0.25
62k,39,16q,0.25
17r,40,18s,0.95
18s,40,17r,0.95
17r,41,19t,0.9
19t,41,17r,0.9
17r,42,20u,0.83
20u,42,17r,0.83
17r,43,21v,0.76
21v,43,17r,0.76
17r,44,22w,0.61
22w,44,17r,0.61
17r,45,23x,0.54
23x,45,17r,0.54
17r,46,24y,0.41
24y,46,17r,0.41
17r,47,25z,0.32
25z,47,17r,0.32
17r,48,26a,0.2
26a,48,17r,0.2
17r,49,34i,0.12
34i,49,17r,0.12
18s,50,19t,0.95
19t,50,18s,0.95
18s,51,20u,0.87
20u,51,18s,0.87
18s,52,21v,0.79
21v,52,18s,0.79
18s,53,22w,0.64
22w,53,18s,0.64
18s,54,23x,0.56
23x,54,18s,0.56
18s,55,24y,0.44
24y,55,18s,0.44
18s,56,25z,0.33
25z,56,18s,0.33
18s,57,26a,0.21
26a,57,18s,0.21
18s,58,34i,0.13
34i,58,18s,0.13
19t,59,20u,0.92
20u,59,19t,0.92
19t,60,21v,0.84
21v,60,19t,0.84
19t,61,22w,0.68
22w,61,19t,0.68
19t,62,23x,0.59
23x,62,19t,0.59
19t,63,24y,0.46
24y,63,19t,0.46
19t,64,25z,0.35
25z,64,19t,0.35
19t,65,26a,0.22
26a,65,19t,0.22
19t,66,34i,0.14
34i,66,19t,0.14
20u,67,21v,0.91
21v,67,20u,0.91
20u,68,22w,0.74
22w,68,20u,0.74
20u,69,23x,0.65
23x,69,20u,0.65
20u,70,24y,0.5
24y,70,20u,0.5
