:ID,article_id,parent_id,author,score,timestamp,length,averageWordLength,quotedTextPerLength,readingLevel,sentimentScore,sentiment,similarity,:LABEL
0,9wf6d4,e9k89mm,bug-hunter,13.0,1542118921.0,231.0,5.696,0.0,51.18,0.0,Negative,0.0325,comment
13,9wf6d4,e9lrn03,aurora-_,12.0,1542227511.0,152.0,5.0705,0.0,58.285,0.0138,Negative,0.0789,comment
14,9wf6d4,e9kb2r8,NC_Sexy,8.5,1542159271.0,222.0,4.6295,0.0,76.32,0.1145,Positive,0.0566,comment
15,9wf6d4,e9wfjfn,PushThroughThePain,-0.5,1542509230.5,17.0,3.5,0.0,97.535,0.0,Neutral,0.0,comment
20,9wf6d4,e9lrn03,ImVeryBadWithNames,13.5,1542227511.0,228.5,5.373,0.0,58.285,-0.0119,Negative,0.0789,comment
2,9wf6d4,e9kqp2w,BoulderCAST,23.0,1542125118.5,290.0,5.5195,0.0,79.245,0.0781,Positive,0.1814,comment
16,9wf6d4,e9ks24e,SirRichardArms,14.5,1542085612.5,196.5,4.7995,0.0,88.755,0.1714,Positive,0.0787,comment
3,9wf6d4,e9oravk,Tauzant,7.0,1542420209.0,436.5,6.158,0.0,77.28,-0.1792,Negative,0.5237,comment
17,9wf6d4,e9zl5fi,nutraxfornerves,5.0,1542600529.5,737.5,6.0755,0.0098,80.75,-0.1194,Positive,0.0372,comment
5,9wf6d4,e9lfvf6,nutraxfornerves,8.0,1542110565.5,187.5,6.4185,0.0,50.515,-0.0206,Neutral,0.5,comment
18,9wf6d4,e9losw5,princesspoohs,11.0,1542140013.0,366.0,5.246,0.0,67.25,-0.175,Negative,0.0455,comment
7,9wf6d4,e9q3buv,bug-hunter,3.0,1542304314.0,352.5,7.479,0.0,45.105,0.049,Positive,0.5246,comment
19,9wf6d4,e9r6oc3,KingYodel,2.0,1542328081.0,262.5,6.683,0.0,52.275,-0.0498,Negative,0.0688,comment
25,9wf6d4,e9r6oc3,KingYodel,2.0,1542350205.0,483.0,8.037,0.0,69.92,-0.0406,Negative,0.0883,comment
8,9wf6d4,e9kn8qp,theneedfull,-17.5,1542082633.5,28.0,5.611,0.0,33.575,-0.2384,Negative,0.5,comment
12,9wf6d4,e9kn8qp,NotAHost,9.0,1542083635.0,363.0,6.08,0.0,60.99,-0.1657,Negative,0.0,comment
11,9wf6d4,e9u81q6,Anonymous,0.5,1542431228.0,82.0,7.0,0.0,36.62,0.0,Neutral,0.0,comment
21,9wf6d4,e9u8xv8,grasshoppa1,2.0,1542431256.0,155.0,7.0,0.0,36.62,0.0,Neutral,0.0,comment
23,9wf6d4,e9l8m3k,Raeliya,11.0,1542279787.5,107.0,4.7575,0.0,54.07,0.0795,Positive,0.0848,comment
24,9wf6d4,e9lrn03,Staindrain,10.0,1542272551.0,231.0,5.026,0.0,66.07,-0.0513,Negative,0.0877,comment
26,9wf6d4,e9kb828,King_Neptune07,14.0,1542101011.0,75.0,4.636,0.0,77.23,0.0,Positive,0.0955,comment
30,9wf6d4,e9kb828,Raven_skies,19.0,1542100223.5,107.0,4.8755,0.0,64.54,0.0,Negative,0.1043,comment
27,9wf6d4,e9s0kfa,KingYodel,2.0,1542350593.5,1153.5,7.074,0.0,73.845,-0.1058,Negative,0.0972,comment
22,9wf6d4,e9ke5qk,C6H12O4,50.0,1542087970.5,106.5,5.5285,0.0,64.54,-0.1161,Neutral,0.1043,comment
28,9wf6d4,e9ladho,King_Neptune07,42.0,1542101011.0,64.0,4.636,0.0,77.23,0.0,Positive,0.0955,comment
29,9wf6d4,e9s1o4i,Eeech,2.0,1542350982.0,1824.0,8.037,0.0,69.92,-0.0406,Positive,0.106,comment
1,9wf6d4,e9mwc2v,bug-hunter,14.0,1542168115.0,932.0,6.313,0.0,62.41,-0.0749,Negative,0.1919,comment
4,9wf6d4,e9ndiqj,bug-hunter,3.5,1542182106.0,433.0,7.255,0.2119,77.435,0.1775,Positive,0.5,comment
6,9wf6d4,e9ptqoh,bug-hunter,3.5,1542299897.5,72.0,3.5415,0.0,98.045,0.4725,Positive,0.5,comment
9,9wf6d4,e9r4b6i,bug-hunter,3.0,1542326765.0,70.5,4.107,0.0,97.45,0.0,Neutral,0.5,comment
10,9wf6d4,e9w0vr9,bug-hunter,4.5,1542498112.5,152.0,5.2095,0.0,65.2,-0.1777,Positive,0.5357,comment
