:START_ID,:END_ID,:TYPE
0,13,NOT SPECIFIED
0,14,NOT SPECIFIED
0,15,NOT SPECIFIED
0,20,NOT SPECIFIED
13,20,NOT SPECIFIED
13,23,NOT SPECIFIED
13,24,NOT SPECIFIED
13,26,NOT SPECIFIED
13,30,NOT SPECIFIED
20,24,NOT SPECIFIED
2,16,NOT SPECIFIED
3,17,NOT SPECIFIED
5,18,NOT SPECIFIED
7,19,NOT SPECIFIED
7,25,NOT SPECIFIED
19,25,NOT SPECIFIED
19,27,NOT SPECIFIED
25,27,NOT SPECIFIED
25,29,NOT SPECIFIED
8,12,NOT SPECIFIED
11,21,NOT SPECIFIED
23,26,NOT SPECIFIED
23,30,NOT SPECIFIED
26,22,NOT SPECIFIED
26,28,NOT SPECIFIED
26,30,NOT SPECIFIED
30,22,NOT SPECIFIED
30,28,NOT SPECIFIED
27,29,NOT SPECIFIED
22,28,NOT SPECIFIED
