:START_ID,score,:END_ID,:TYPE
Negative,-0.4215,e9k89mm,_IS
Negative,-0.0749,e9mwc2v,_IS
Positive,0.0656,e9kqp2w,_IS
Positive,0.4019,e9n8uup,_IS
Negative,-0.0592,e9oravk,_IS
Negative,-0.5772,e9n02md,_IS
Negative,-0.0649,e9ndiqj,_IS
Neutral,0.0,e9lfvf6,_IS
Positive,0.6094,e9o6111,_IS
Positive,0.2099,e9ptqoh,_IS
Neutral,0.0,e9q3buv,_IS
Negative,-0.0844,e9os693,_IS
Neutral,0.0,e9r4b6i,_IS
Positive,0.105,e9uvpbh,_IS
Negative,-0.8481,e9w0vr9,_IS
Neutral,-0.0258,e9wdv69,_IS
Positive,0.1468,e9oqytj,_IS
Positive,0.4215,e9oyz1m,_IS
Positive,0.1376,e9r6fuj,_IS
Negative,-0.3291,e9rrixa,_IS
Positive,0.5656,e9u93cd,_IS
Negative,-0.0888,e9p1y4n,_IS
Positive,0.7003,e9pgrzd,_IS
Neutral,0.0,e9pi2at,_IS
Negative,-0.3818,e9q3bvb,_IS
Negative,-0.1698,e9ujpm4,_IS
Positive,0.4019,ea34u8r,_IS
Neutral,0.0,e9u81q6,_IS
Neutral,0.0,e9kn8qp,_IS
Neutral,0.0275,e9k8u7e,_IS
Positive,0.101,e9kb2r8,_IS
Negative,-0.1773,e9pu59i,_IS
Positive,0.1258,e9udr4n,_IS
Neutral,0.0,e9wfjfn,_IS
Negative,-0.4819,e9mxh7b,_IS
Positive,0.0665,e9n3yzg,_IS
Negative,-0.0911,e9mtbju,_IS
Positive,0.0907,e9ks24e,_IS
Positive,0.3305,e9pf7e1,_IS
Negative,-0.2992,e9zl5fi,_IS
Positive,0.4199,e9nfa9l,_IS
Neutral,-0.0412,e9losw5,_IS
Positive,0.7351,e9r6jbf,_IS
Positive,0.098,e9r6oc3,_IS
Neutral,0.0,e9r5s0y,_IS
Positive,0.4926,e9w0yu3,_IS
Neutral,-0.0234,e9u8vbf,_IS
Negative,-0.1674,e9lxcnu,_IS
Negative,-0.1095,e9knmaw,_IS
Negative,-0.4767,e9kptsq,_IS
Negative,-0.1657,e9m3197,_IS
Positive,0.1591,e9kb828,_IS
Negative,-0.0513,e9lrn03,_IS
Positive,0.128,e9oxu7a,_IS
Neutral,0.0,e9wg7nl,_IS
Positive,0.252,e9kslhk,_IS
Positive,0.0605,e9zojq4,_IS
Negative,-0.175,e9m2ttj,_IS
Negative,-0.3281,e9mhkd3,_IS
Negative,-0.1976,e9r6t68,_IS
Neutral,0.0,e9u8xv8,_IS
Negative,-0.2322,e9ke5qk,_IS
Negative,-0.6664,e9l8m3k,_IS
Negative,-0.1027,e9nesr1,_IS
Negative,-0.4064,ea4degw,_IS
Positive,0.3278,ea4dnnj,_IS
Negative,-0.1711,e9s0kfa,_IS
Neutral,0.0,e9u94ny,_IS
Neutral,0.0,e9ladho,_IS
Positive,0.2162,e9v3f58,_IS
Neutral,0.0,e9z2ktp,_IS
Positive,0.092,e9puhcu,_IS
Neutral,-0.0406,e9s1o4i,_IS
Positive,0.5719,e9z2hfq,_IS
Positive,0.2592,e9s57tf,_IS
Negative,-0.2378,ea5xcm0,_IS
Negative,-0.1628,ea5vjdn,_IS
Negative,-0.3824,ea61h2c,_IS
Negative,-0.1053,ea638qf,_IS
Negative,-0.5682,ea5wb3y,_IS
Negative,-0.1812,ea5wl6r,_IS
Neutral,0.0461,ea5w55e,_IS
Neutral,0.0429,ea6280l,_IS
Positive,0.0644,ea6e8v9,_IS
Neutral,0.0,ea5tw0a,_IS
Negative,-0.2084,ea65e1x,_IS
Negative,-0.3601,ea66wru,_IS
Negative,-0.0674,ea682vu,_IS
Negative,-0.5423,ea68666,_IS
Positive,0.1749,ea6xvlu,_IS
Positive,0.114,ea68mus,_IS
Negative,-0.3715,ea6muyg,_IS
Neutral,0.0445,ea6uzfk,_IS
Neutral,0.0,ea6gfn8,_IS
Neutral,-0.0177,ea6gp80,_IS
Negative,-0.3352,ea6o25f,_IS
Neutral,-0.0101,ea5tr99,_IS
Neutral,0.0,ea5vm0p,_IS
Neutral,0.0,ea6k6zr,_IS
Neutral,0.0,ea6kjbd,_IS
Neutral,0.0,ea6r3ic,_IS
Neutral,0.0,ea6xboz,_IS
Neutral,0.0,ea6y257,_IS
Neutral,0.0,ea6ypiu,_IS
Negative,-0.4481,ea6yse5,_IS
Negative,-0.0516,ea6ytcr,_IS
Positive,0.6204,ea6yufh,_IS
Negative,-0.6296,ea6zegl,_IS
Positive,0.3612,ea6zku5,_IS
Negative,-0.3321,ea6zl0q,_IS
Negative,-0.1728,ea6sylv,_IS
Positive,0.1314,ea5wte9,_IS
Negative,-0.128,ea5ttsf,_IS
Neutral,0.0,ea6yn20,_IS
Negative,-0.2002,ea67cxe,_IS
Positive,0.2107,ea61a08,_IS
Negative,-0.1241,ea6r8er,_IS
Negative,-0.3818,ea6ypz9,_IS
Negative,-0.1437,ea6xlbg,_IS
Neutral,0.0,ea6h2nn,_IS
Positive,0.1188,ea6u6c2,_IS
Negative,-0.5267,ea6e78g,_IS
Negative,-0.0945,ea6z8pd,_IS
Positive,0.1468,ea6rs2w,_IS
Positive,0.25,ea6nep3,_IS
Negative,-0.2268,ea6fvzj,_IS
Negative,-0.4767,ea6g2j4,_IS
Neutral,0.0,ea6kuqz,_IS
Neutral,-0.0057,ea6t9td,_IS
Positive,0.5267,ea6v710,_IS
Neutral,0.0,ea60i66,_IS
Neutral,0.0,ea6f13d,_IS
Negative,-0.134,ea6ge9o,_IS
Neutral,0.0173,ea5u7hp,_IS
Neutral,0.0,ea6nsym,_IS
Negative,-0.1763,ea6gsdi,_IS
Positive,0.0706,ea6bn61,_IS
Positive,0.3612,ea6vwdb,_IS
Neutral,0.0173,ea5vn3z,_IS
Positive,0.1626,ea6kkf5,_IS
Negative,-0.0631,ea6lj7z,_IS
Neutral,0.016,ea6rc8v,_IS
Neutral,0.0173,ea6xfm5,_IS
Negative,-0.1957,ea5wbtp,_IS
Neutral,0.0,ea5tw4t,_IS
Positive,0.1366,ea67qs6,_IS
Neutral,0.0057,ea6sbpo,_IS
Neutral,0.0,ea6ls0t,_IS
Negative,-0.4767,ea6zdeu,_IS
Neutral,0.0,ea6wdgh,_IS
Positive,0.672,ea61gv1,_IS
Positive,0.2707,ea6x5tg,_IS
Neutral,-0.0065,ea6ffgd,_IS
Positive,0.275,ea6ff7y,_IS
Positive,0.5106,ea6o8xb,_IS
Positive,0.4019,ea6tjx5,_IS
Positive,0.1806,ea6y3x2,_IS
Neutral,0.0,ea6yylg,_IS
Neutral,0.0,ea6snjt,_IS
Negative,-0.2251,ea6vmqo,_IS
Negative,-0.4835,ea6z49k,_IS
Negative,-0.1138,ea6yt7d,_IS
Negative,-0.3608,ea6gih4,_IS
Positive,0.104,ea6st1n,_IS
Positive,0.1353,ea6wa7u,_IS
Neutral,0.0299,ea6yvg4,_IS
Neutral,0.0076,ea6rxmc,_IS
Positive,0.5574,ea6y3dc,_IS
Neutral,0.0,ea64wn5,_IS
Negative,-0.2037,ea6sd2f,_IS
Neutral,0.0173,ea6pjyj,_IS
Negative,-0.2413,ea6owb3,_IS
